Device Instance ID,Counter,Timestamp,Timezone,Value,Quality
5cda2e9d93537c01007f30e7,4656436,1563395772,-0400,54.0,54
5cda2e9d93537c01007f30e7,4656437,1563395773,-0400,54.0,54
5cda2e9d93537c01007f30e7,4656438,1563395774,-0400,54.0,54
5cda2e9d93537c01007f30e7,4656439,1563395775,-0400,54.0,54
5cda2e9d93537c01007f30e7,4656440,1563395776,-0400,54.0,54
5cda2e9d93537c01007f30e7,4656441,1563395777,-0400,52.0,54
5cda2e9d93537c01007f30e7,4656442,1563395778,-0400,52.0,54
5cda2e9d93537c01007f30e7,4656443,1563395779,-0400,52.0,54
5cda2e9d93537c01007f30e7,4656444,1563395780,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656445,1563395781,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656446,1563395782,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656447,1563395783,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656448,1563395784,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656449,1563395785,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656450,1563395786,-0400,52.0,54
5cda2e9d93537c01007f30e7,4656451,1563395787,-0400,52.0,54
5cda2e9d93537c01007f30e7,4656452,1563395788,-0400,52.0,54
5cda2e9d93537c01007f30e7,4656453,1563395789,-0400,52.0,54
5cda2e9d93537c01007f30e7,4656454,1563395790,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656455,1563395791,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656456,1563395792,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656457,1563395793,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656458,1563395794,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656459,1563395795,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656460,1563395796,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656461,1563395797,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656462,1563395798,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656463,1563395799,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656464,1563395800,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656465,1563395801,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656466,1563395802,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656467,1563395803,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656468,1563395804,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656469,1563395805,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656470,1563395806,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656471,1563395807,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656472,1563395808,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656473,1563395809,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656474,1563395810,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656475,1563395811,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656476,1563395812,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656477,1563395813,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656478,1563395814,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656479,1563395815,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656480,1563395816,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656481,1563395817,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656482,1563395818,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656483,1563395819,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656484,1563395820,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656485,1563395821,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656486,1563395822,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656487,1563395823,-0400,51.0,54
5cda2e9d93537c01007f30e7,4656488,1563395824,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656489,1563395825,-0400,50.0,54
5cda2e9d93537c01007f30e7,4656490,1563395826,-0400,49.0,54
5cda2e9d93537c01007f30e7,4656491,1563395827,-0400,49.0,54
5cda2e9d93537c01007f30e7,4656492,1563395828,-0400,49.0,54
5cda2e9d93537c01007f30e7,4656493,1563395829,-0400,49.0,54
5cda2e9d93537c01007f30e7,4656494,1563395830,-0400,49.0,54
5cda2e9d93537c01007f30e7,4656495,1563395831,-0400,49.0,54
5cda2e9d93537c01007f30e7,4656496,1563395832,-0400,49.0,54
5cda2e9d93537c01007f30e7,4656497,1563395833,-0400,49.0,54
5cda2e9d93537c01007f30e7,4656498,1563395834,-0400,49.0,54
5cda2e9d93537c01007f30e7,4656499,1563395835,-0400,48.0,54
5cda2e9d93537c01007f30e7,4656500,1563395836,-0400,48.0,54
5cda2e9d93537c01007f30e7,4656501,1563395837,-0400,48.0,54
5cda2e9d93537c01007f30e7,4656502,1563395838,-0400,48.0,54
5cda2e9d93537c01007f30e7,4656503,1563395839,-0400,48.0,54
5cda2e9d93537c01007f30e7,4656504,1563395840,-0400,47.0,54
5cda2e9d93537c01007f30e7,4656505,1563395841,-0400,47.0,54
5cda2e9d93537c01007f30e7,4656506,1563395842,-0400,47.0,54
5cda2e9d93537c01007f30e7,4656507,1563395843,-0400,47.0,54
5cda2e9d93537c01007f30e7,4656508,1563395844,-0400,47.0,54
5cda2e9d93537c01007f30e7,4656509,1563395845,-0400,47.0,54
5cda2e9d93537c01007f30e7,4656510,1563395846,-0400,47.0,54
5cda2e9d93537c01007f30e7,4656511,1563395847,-0400,47.0,54
5cda2e9d93537c01007f30e7,4656512,1563395848,-0400,47.0,54
5cda2e9d93537c01007f30e7,4656513,1563395849,-0400,47.0,54
5cda2e9d93537c01007f30e7,4656514,1563395850,-0400,47.0,54
5cda2e9d93537c01007f30e7,4656515,1563395851,-0400,47.0,54
5cda2e9d93537c01007f30e7,4656516,1563395852,-0400,46.0,54
5cda2e9d93537c01007f30e7,4656517,1563395853,-0400,46.0,54
5cda2e9d93537c01007f30e7,4656518,1563395854,-0400,45.0,54
5cda2e9d93537c01007f30e7,4656519,1563395855,-0400,45.0,54
5cda2e9d93537c01007f30e7,4656520,1563395856,-0400,45.0,54
5cda2e9d93537c01007f30e7,4656521,1563395857,-0400,45.0,54
5cda2e9d93537c01007f30e7,4656522,1563395858,-0400,44.0,54
5cda2e9d93537c01007f30e7,4656523,1563395859,-0400,44.0,54
5cda2e9d93537c01007f30e7,4656524,1563395860,-0400,44.0,54
5cda2e9d93537c01007f30e7,4656525,1563395861,-0400,44.0,54
5cda2e9d93537c01007f30e7,4656526,1563395862,-0400,44.0,54
5cda2e9d93537c01007f30e7,4656527,1563395863,-0400,44.0,54
5cda2e9d93537c01007f30e7,4656528,1563395864,-0400,44.0,54
5cda2e9d93537c01007f30e7,4656529,1563395865,-0400,44.0,54
5cda2e9d93537c01007f30e7,4656530,1563395866,-0400,44.0,54
5cda2e9d93537c01007f30e7,4656531,1563395867,-0400,44.0,54
