58124,0.911
58125,0.9275
58126,0.892
58127,0.8905
58128,0.837
58128,0.8505
58129,0.904
58130,0.936
58131,0.922
58132,0.9175
58133,0.906
58134,0.899
58135,0.848
58136,0.817
58136,0.8525
58137,0.9135
58138,0.879
58139,0.953
58140,0.971
58141,0.9275
58142,0.9555
58143,0.8325
58144,0.771
58144,0.7615
58145,0.7455
58146,0.7595
58147,0.751
58148,0.825
58148,0.8355
58149,0.851
58150,0.897
58151,0.8945
58152,0.84
58153,0.869
58154,0.9265
58155,0.926
58155,0.8775
58156,0.911
58157,0.8905
58158,0.826
58159,0.8305
58160,0.8705
58161,0.835
58161,0.76
58162,0.76
58163,0.8125
58164,0.727
58164,0.685
58165,0.714
58166,0.678
58166,0.75
58167,0.7435
58168,0.782
58169,0.802
58170,0.7825
58170,0.755
58171,0.7415
58172,0.7295
58173,0.713
58173,0.6755
58174,0.672
58175,0.673
58175,0.6725
58176,0.667
58177,0.626
58177,0.6435
58178,0.625
58178,0.6515
58179,0.6495
58180,0.6565
58180,0.6895
58181,0.6505
58182,0.6855
58182,0.71
58183,0.7475
58184,0.7895
58185,0.828
58186,0.775
58186,0.8045
58187,0.858
58188,0.8415
58189,0.8595
58190,0.891
58191,0.891
58192,0.8935
58192,0.831
58193,0.739
58194,0.7365
58195,0.7925
58196,0.842
58196,0.816
58197,0.8615
58198,0.904
58199,0.9005
58200,0.872
58201,0.937
58202,0.9065
58203,0.847
58203,0.7705
58204,0.695
58205,0.691
58206,0.6955
58206,0.71
58207,0.698
58208,0.6625
58208,0.66
58209,0.691
58210,0.723
58210,0.7765
58211,0.8135
58212,0.8655
58213,0.893
58214,0.8075
58215,0.7365
58215,0.7385
58216,0.755
58217,0.7695
58218,0.7245
58218,0.721
58219,0.7495
58220,0.7455
58220,0.754
58221,0.7255
58222,0.7975
58223,0.8115
58224,0.8375
58224,0.8215
58225,0.7755
58226,0.726
58227,0.7035
58227,0.709
58228,0.7175
58229,0.685
58230,0.698
58230,0.6925
58231,0.692
58232,0.6815
58232,0.6615
58233,0.637
58233,0.6195
58234,0.615
58235,0.6145
58235,0.6585
58236,0.763
58237,0.777
58238,0.833
58239,0.882
58239,0.821
58240,0.846
58241,0.8795
58242,0.89
58243,0.863
58244,0.8335
58245,0.781
58245,0.7245
58246,0.72
58247,0.6935
58247,0.745
58248,0.9195
58249,0.8655
58250,0.862
58251,0.893
58252,0.8075
58253,0.749
58253,0.7825
58254,0.8135
58255,0.8965
58256,0.902
58257,0.888
58258,0.8685
58259,0.845
58259,0.874
58260,0.854
58261,0.8445
58262,0.9335
58263,0.9715
58264,0.9385
58265,0.8995
58266,0.8685
58267,0.9035
58268,0.9575
58269,0.938
58269,0.9425
58270,0.9005
58271,0.911
58272,0.9315
58273,0.8465
58274,0.813
58275,0.878
58276,0.834
58276,0.8095
58277,0.8015
58278,0.725
58279,0.7765
58279,0.791
58280,0.7715
58281,0.86
58282,0.889
58283,0.892
58284,0.8285
58285,0.812
58285,0.8125
58286,0.797
58287,0.8045
58288,0.802
58289,0.7835
58289,0.8005
58290,0.766
58291,0.831
58292,0.858
58293,0.84
58294,0.9295
58295,0.9815
58295,0.936
58296,0.9375
58297,0.938
58298,0.917
58299,0.939
58300,0.9475
58301,0.917
58302,0.85
58303,0.883
58304,0.8595
58304,0.843
58305,0.829
58306,0.8995
58307,0.936
58308,0.946
58309,0.8615
58310,0.8055
58311,0.7505
58311,0.7215
58312,0.744
58313,0.764
58314,0.763
58314,0.7295
58315,0.712
58316,0.6825
58316,0.678
58317,0.6495
58318,0.655
58318,0.661
58319,0.704
58320,0.7305
58320,0.753
58321,0.709
58322,0.702
58323,0.7075
58323,0.785
58324,0.978
58325,1.012
58326,1.005
58327,0.9905
58328,0.977
58329,0.981
58330,0.8955
58331,0.8395
58332,0.826
58333,0.914
58334,0.968
58335,1.011
58336,0.9795
58337,1.0055
58338,0.962
58339,0.8955
58339,0.815
58340,0.78
58341,0.78
58342,0.9165
58343,0.985
58344,1.0455
58345,1.0385
58346,1.002
58347,0.9825
58348,0.936
58349,0.895
58350,0.891
58351,0.9565
58352,1.0225
58353,1.014
58354,0.979
58355,0.932
58355,0.8345
58356,0.762
58357,0.7095
58358,0.6825
58358,0.6995
58359,0.823
58360,0.9015
58361,0.9715
58362,0.9535
58363,0.9465
58364,0.952
58365,0.9155
58366,0.868
58366,0.7985
58367,0.7615
58368,0.764
58369,0.864
58370,0.971
58371,0.964
58372,0.95
58373,0.9545
58374,0.9605
58374,0.901
58375,0.8615
58376,0.7945
58377,0.744
58378,0.722
58378,0.7195
58379,0.683
58380,0.6675
58380,0.6665
58381,0.6715
58382,0.6635
58382,0.6565
58383,0.639
58384,0.638
58384,0.631
58385,0.6135
58385,0.624
58386,0.6225
58387,0.625
58387,0.6175
58388,0.6115
58389,0.6085
58389,0.6205
58390,0.633
58390,0.6515
58391,0.667
58392,0.7
58393,0.7195
58393,0.7555
58394,0.7925
58395,0.8045
58396,0.829
58397,0.8005
58397,0.781
58398,0.793
58399,0.8015
58400,0.8
58401,0.807
58401,0.807
58402,0.7885
58403,0.7705
58404,0.7365
58404,0.715
58405,0.7355
58406,0.7825
58407,0.791
58407,0.793
58408,0.8305
58409,0.8505
58410,0.849
58411,0.8355
58412,0.826
58412,0.7945
58413,0.793
58414,0.797
58415,0.784
58416,0.7685
58416,0.7615
58417,0.707
58418,0.696
58418,0.686
58419,0.6805
58420,0.684
58420,0.6925
58421,0.6875
58422,0.697
58423,0.7125
58423,0.7065
